#time Tmin Tmax uniTmin uniTmax Amin Amax Avar
181.5	-0.00944365 0.996101	1 1	0.996544 1.00485	2.03983e-07
182	-0.0093879 0.995318	1 1	0.996545 1.00484	2.03741e-07
182.5	-0.00932323 0.995053	1 1	0.996546 1.00482	2.03634e-07
183	-0.00948097 0.994858	1 1	0.996548 1.0048	2.03681e-07
183.5	-0.00963252 0.995716	1 1	0.996548 1.00483	2.0393e-07
184	-0.00976177 0.996396	1 1	0.996546 1.00486	2.04335e-07
184.5	-0.00986749 0.996908	1 1	0.996542 1.0049	2.0489e-07
185	-0.00994569 0.997252	1 1	0.996537 1.00493	2.05595e-07
185.5	-0.0099931 0.997454	1 1	0.996533 1.00496	2.06362e-07
186	-0.0100105 0.997487	1 1	0.996531 1.00499	2.07267e-07
186.5	-0.0100006 0.997353	1 1	0.996528 1.00501	2.08232e-07
187	-0.00996404 0.997051	1 1	0.996526 1.00503	2.0927e-07
