#time Tmin Tmax uniTmin uniTmax Amin Amax
145.5	-0.00686074 0.999069	1 1	0.995938 1.00883
146	-0.00693614 0.999203	1 1	0.995973 1.0088
146.5	-0.0069802 0.998928	1 1	0.996009 1.00877
147	-0.00705377 0.998571	1 1	0.996033 1.00873
147.5	-0.00711764 0.999005	1 1	0.996056 1.00869
148	-0.00714957 0.999064	1 1	0.99608 1.00868
148.5	-0.00714804 0.998746	1 1	0.996107 1.00867
149	-0.00721444 0.998058	1 1	0.996139 1.00865
149.5	-0.00726197 0.998243	1 1	0.996172 1.00862
150	-0.00728195 0.998395	1 1	0.996202 1.0086
150.5	-0.00729197 0.998225	1 1	0.996237 1.00856
151	-0.00738841 0.997725	1 1	0.996261 1.00852
151.5	-0.00745321 0.996904	1 1	0.996285 1.00848
152	-0.0075353 0.997009	1 1	0.996309 1.00846
152.5	-0.007606 0.997565	1 1	0.996332 1.00844
153	-0.00764097 0.997844	1 1	0.996359 1.00843
153.5	-0.0076575 0.997829	1 1	0.996389 1.0084
154	-0.007719 0.997533	1 1	0.996424 1.00838
154.5	-0.00774555 0.997057	1 1	0.996457 1.00834
155	-0.00774365 0.997799	1 1	0.996465 1.0083
155.5	-0.00773903 0.998322	1 1	0.99646 1.00826
156	-0.00780062 0.998581	1 1	0.996452 1.00823
156.5	-0.00789413 0.998584	1 1	0.996443 1.00821
157	-0.00797475 0.998341	1 1	0.996435 1.00819
157.5	-0.00805758 0.997868	1 1	0.996427 1.00815
158	-0.00810798 0.997309	1 1	0.996422 1.00803
158.5	-0.00813191 0.996769	1 1	0.996426 1.00783
159	-0.00813807 0.996959	1 1	0.996434 1.00762
159.5	-0.00817334 0.997207	1 1	0.996444 1.00743
160	-0.00820036 0.997343	1 1	0.996456 1.00721
160.5	-0.00821602 0.997448	1 1	0.996467 1.007
161	-0.00822102 0.997507	1 1	0.99648 1.00679
161.5	-0.00821275 0.997539	1 1	0.996492 1.00665
162	-0.00819966 0.997475	1 1	0.996503 1.00652
162.5	-0.00822601 0.997349	1 1	0.996514 1.0064
163	-0.00823747 0.997141	1 1	0.996523 1.0063
163.5	-0.00833129 0.996819	1 1	0.996531 1.00625
164	-0.00841375 0.996433	1 1	0.996537 1.00621
164.5	-0.00847879 0.996399	1 1	0.996541 1.00616
165	-0.00855204 0.99624	1 1	0.996544 1.00612
165.5	-0.00860994 0.995945	1 1	0.996546 1.00607
166	-0.00864151 0.995996	1 1	0.996549 1.00602
166.5	-0.00864855 0.996598	1 1	0.996552 1.00597
167	-0.00866693 0.997146	1 1	0.996555 1.00594
167.5	-0.00868431 0.997601	1 1	0.996556 1.00594
168	-0.00867581 0.997931	1 1	0.996554 1.006
168.5	-0.0086424 0.998098	1 1	0.99655 1.00607
169	-0.00865562 0.998062	1 1	0.996546 1.00615
169.5	-0.00866159 0.997793	1 1	0.996543 1.00623
170	-0.00879346 0.997339	1 1	0.996539 1.00628
170.5	-0.00889879 0.996714	1 1	0.996537 1.00631
171	-0.00897473 0.995965	1 1	0.996536 1.00631
171.5	-0.00903913 0.99625	1 1	0.996537 1.00629
172	-0.00909035 0.996515	1 1	0.996538 1.00629
172.5	-0.0091188 0.996658	1 1	0.996539 1.00626
173	-0.00912209 0.996639	1 1	0.996539 1.00622
173.5	-0.0091204 0.996482	1 1	0.996539 1.00616
174	-0.00911995 0.996496	1 1	0.996539 1.00608
174.5	-0.00909772 0.996755	1 1	0.996538 1.00599
175	-0.0090552 0.996861	1 1	0.996537 1.00588
175.5	-0.00904322 0.996839	1 1	0.996537 1.00576
176	-0.00900333 0.996668	1 1	0.996537 1.00563
176.5	-0.00915322 0.996321	1 1	0.996537 1.00549
177	-0.00928772 0.995854	1 1	0.996538 1.00533
177.5	-0.00939567 0.996519	1 1	0.996538 1.00517
178	-0.00947632 0.997033	1 1	0.996539 1.00499
178.5	-0.00953093 0.997395	1 1	0.996539 1.00481
179	-0.00957084 0.99759	1 1	0.99654 1.00482
179.5	-0.00958445 0.997618	1 1	0.996542 1.00484
180	-0.00956952 0.997484	1 1	0.996542 1.00485
180.5	-0.00953527 0.997183	1 1	0.996544 1.00486
181	-0.00950293 0.996724	1 1	0.996544 1.00486
181.5	-0.00944365 0.996101	1 1	0.996544 1.00485
182	-0.0093879 0.995318	1 1	0.996545 1.00484
182.5	-0.00932323 0.995053	1 1	0.996546 1.00482
183	-0.00948097 0.994858	1 1	0.996548 1.0048
183.5	-0.00963252 0.995716	1 1	0.996548 1.00483
184	-0.00976177 0.996396	1 1	0.996546 1.00486
184.5	-0.00986749 0.996908	1 1	0.996542 1.0049
185	-0.00994569 0.997252	1 1	0.996537 1.00493
185.5	-0.0099931 0.997454	1 1	0.996533 1.00496
186	-0.0100105 0.997487	1 1	0.996531 1.00499
186.5	-0.0100006 0.997353	1 1	0.996528 1.00501
187	-0.00996404 0.997051	1 1	0.996526 1.00503
187.5	-0.00991058 0.996584	1 1	0.996522 1.00505
188	-0.00983198 0.995951	1 1	0.996517 1.00506
188.5	-0.00973984 0.995086	1 1	0.996511 1.00507
189	-0.00962386 0.994625	1 1	0.996505 1.00508
189.5	-0.00964258 0.994719	1 1	0.996501 1.00508
190	-0.00982226 0.995414	1 1	0.996496 1.00509
190.5	-0.00998358 0.99609	1 1	0.996491 1.00509
191	-0.0101322 0.996589	1 1	0.996484 1.00509
191.5	-0.0102468 0.996934	1 1	0.996477 1.00509
192	-0.0103359 0.997093	1 1	0.996471 1.00508
192.5	-0.0103947 0.997049	1 1	0.996466 1.00508
193	-0.0104215 0.996825	1 1	0.99646 1.00507
193.5	-0.0104315 0.996412	1 1	0.996454 1.00505
194	-0.0104069 0.995819	1 1	0.996447 1.00507
194.5	-0.0103581 0.995099	1 1	0.996439 1.00509
195	-0.0102947 0.99469	1 1	0.996431 1.00511
195.5	-0.0102297 0.994833	1 1	0.996424 1.00514
196	-0.0101478 0.994809	1 1	0.996417 1.00516
196.5	-0.0100838 0.995339	1 1	0.996412 1.00518
197	-0.0101823 0.995966	1 1	0.996408 1.0052
197.5	-0.0103367 0.996401	1 1	0.996404 1.00522
198	-0.0104705 0.99666	1 1	0.9964 1.00524
198.5	-0.0105776 0.996705	1 1	0.996397 1.00525
199	-0.01066 0.99654	1 1	0.996372 1.00527
199.5	-0.0107309 0.996194	1 1	0.996339 1.00528
200	-0.0107849 0.995643	1 1	0.996296 1.00529
200.5	-0.0108082 0.994967	1 1	0.996236 1.00529
201	-0.0108193 0.9942	1 1	0.996184 1.00529
201.5	-0.0108218 0.994262	1 1	0.996136 1.0053
202	-0.0107977 0.994206	1 1	0.996091 1.0053
202.5	-0.0107951 0.994871	1 1	0.996046 1.0053
203	-0.0107616 0.995567	1 1	0.996004 1.00531
203.5	-0.0107387 0.996067	1 1	0.995965 1.00532
204	-0.0107047 0.996371	1 1	0.99593 1.00532
204.5	-0.0106543 0.996467	1 1	0.995875 1.00532
205	-0.0106356 0.996359	1 1	0.995815 1.00532
205.5	-0.0107118 0.996045	1 1	0.995763 1.00532
206	-0.0108212 0.995564	1 1	0.995713 1.00532
206.5	-0.0109266 0.994887	1 1	0.995669 1.00532
207	-0.0110123 0.993986	1 1	0.995629 1.00531
207.5	-0.0110652 0.993141	1 1	0.995592 1.00531
208	-0.0111086 0.993586	1 1	0.995557 1.0053
208.5	-0.0111468 0.994471	1 1	0.995526 1.00531
209	-0.0111548 0.995136	1 1	0.995499 1.00533
209.5	-0.011177 0.995628	1 1	0.995475 1.00535
210	-0.0111901 0.995945	1 1	0.995453 1.00537
210.5	-0.0111728 0.996086	1 1	0.995433 1.00539
211	-0.011193 0.996032	1 1	0.995402 1.00541
211.5	-0.0111813 0.995788	1 1	0.995363 1.00544
212	-0.0111546 0.995351	1 1	0.995328 1.00546
212.5	-0.0111668 0.994731	1 1	0.995297 1.00548
213	-0.0111477 0.993889	1 1	0.995247 1.0055
213.5	-0.0111012 0.994009	1 1	0.995198 1.00551
214	-0.0111201 0.994105	1 1	0.995154 1.00552
214.5	-0.0111353 0.993976	1 1	0.995115 1.00553
215	-0.0111866 0.994192	1 1	0.995075 1.00554
215.5	-0.0112457 0.994653	1 1	0.995036 1.00556
216	-0.0112971 0.994954	1 1	0.995003 1.00556
216.5	-0.0113228 0.99509	1 1	0.994972 1.00557
217	-0.0113547 0.995041	1 1	0.994942 1.00558
217.5	-0.0113964 0.994822	1 1	0.994912 1.00559
218	-0.0114122 0.994387	1 1	0.994884 1.00559
218.5	-0.0114293 0.994281	1 1	0.994859 1.0056
219	-0.0114662 0.994791	1 1	0.994836 1.0056
219.5	-0.0114713 0.995108	1 1	0.994817 1.00561
220	-0.0114658 0.995213	1 1	0.994797 1.00561
220.5	-0.011501 0.995143	1 1	0.994782 1.00561
221	-0.011506 0.994876	1 1	0.994769 1.00561
221.5	-0.0114806 0.994414	1 1	0.994747 1.00561
222	-0.0115002 0.993767	1 1	0.994718 1.00561
222.5	-0.0115165 0.992919	1 1	0.994692 1.00561
223	-0.0115017 0.99273	1 1	0.994666 1.0056
