#time Tmin Tmax uniTmin uniTmax Amin Amax
153	-0.00766586 0.997797	0.996664 1.00344	1 1
153.5	-0.00769091 0.997708	0.99665 1.00343	1 1
154	-0.00774882 0.99734	0.996646 1.00343	1 1
154.5	-0.00777272 0.997336	0.996649 1.00342	1 1
155	-0.00776678 0.998012	0.99666 1.00339	1 1
155.5	-0.00776879 0.998468	0.996675 1.00335	1 1
156	-0.00783911 0.998659	0.996699 1.00335	1 1
156.5	-0.00792822 0.998597	0.996727 1.00334	1 1
157	-0.00801313 0.998294	0.996762 1.00336	1 1
157.5	-0.00809055 0.997803	0.996797 1.00337	1 1
158	-0.00813637 0.997284	0.996825 1.00337	1 1
158.5	-0.00815786 0.996866	0.996845 1.00336	1 1
159	-0.00816403 0.997137	0.996867 1.00334	1 1
159.5	-0.00819717 0.99735	0.996888 1.00333	1 1
160	-0.00822611 0.997509	0.99691 1.00335	1 1
160.5	-0.00824285 0.997615	0.996931 1.00335	1 1
161	-0.00824945 0.99769	0.996953 1.00335	1 1
161.5	-0.00824288 0.997731	0.996962 1.00334	1 1
162	-0.00822171 0.997684	0.996943 1.00332	1 1
162.5	-0.00824958 0.997554	0.996925 1.00329	1 1
163	-0.00826497 0.997346	0.996909 1.00331	1 1
163.5	-0.0083576 0.997031	0.996892 1.00332	1 1
164	-0.00844178 0.996587	0.996876 1.00331	1 1
164.5	-0.00850688 0.996464	0.996863 1.0033	1 1
165	-0.00858069 0.996307	0.996852 1.00327	1 1
165.5	-0.00863819 0.996031	0.996845 1.00324	1 1
166	-0.00867034 0.996099	0.996842 1.00325	1 1
166.5	-0.00867861 0.996738	0.996841 1.00337	1 1
167	-0.00869484 0.997306	0.996845 1.0035	1 1
167.5	-0.0087148 0.997772	0.996853 1.00361	1 1
168	-0.00870807 0.998079	0.996868 1.0037	1 1
168.5	-0.00867084 0.9982	0.996889 1.00375	1 1
169	-0.00868668 0.998095	0.996915 1.00377	1 1
169.5	-0.00869795 0.99776	0.996945 1.00379	1 1
170	-0.00882979 0.997226	0.996978 1.0038	1 1
170.5	-0.00893447 0.996541	0.997013 1.00379	1 1
171	-0.00900996 0.995857	0.997049 1.00381	1 1
171.5	-0.00907523 0.99624	0.997086 1.00386	1 1
172	-0.00912559 0.996478	0.997112 1.00389	1 1
